phrasal verb;definition;Level;Lesson Number;Lesson Name
add up;To find the total of several numbers or amounts.;B1;14;Everyday Events & Reactions
add up to;if separate amounts add up to a total amount together they form that total;B1;13;Numbers, Money & Resources
ask out;to invite someone to go with you to a cinema restaurant etc because you want to start a romantic or sexual relationship with them;B1;1;Relationships & Social Life
back up;to make a copy of information on your computer;B1;6;Technology & Computers
blow up;To explode.;B1;14;Everyday Events & Reactions
break down;If a machine or vehicle breaks down, it stops working.;B1;14;Everyday Events & Reactions
break in (to);To enter a building illegally, usually by force.;B1;14;Everyday Events & Reactions
break up;if a meeting or other event breaks up or if you break it up it ends and people leave;B1;1;Relationships & Social Life
break up;if two people break up they end their relationship;B1;1;Relationships & Social Life
break up;to break something to make smaller pieces;B1;1;Relationships & Social Life
brighten up;if the weather brightens up it becomes sunnier;B1;2;Feelings, Moods & States
brighten up;to start looking or feeling happier;B1;2;Feelings, Moods & States
brighten up;to start to have more colour or light or give something more colour or light;B1;2;Feelings, Moods & States
bring up;To take care of a child until they become an adult.;B1;14;Everyday Events & Reactions
brush up (on);to practise and improve your skills or knowledge of something;B1;5;Work & Study Skills
build up;To increase or develop something gradually.;B1;14;Everyday Events & Reactions
bump into;to accidentally hit against something;B1;10;Movement & Encounters
bump into;to meet someone unexpectedly;B1;10;Movement & Encounters
call back;To phone someone again later.;B1;14;Everyday Events & Reactions
call off;To cancel an event or plan.;B1;14;Everyday Events & Reactions
calm down;To become calmer or to make someone calmer.;B1;14;Everyday Events & Reactions
carry on;To continue doing something.;B1;15;Communication, Progress & Daily Tasks
catch up (with);To reach the same point, level, or standard as someone else.;B1;15;Communication, Progress & Daily Tasks
change into;to stop being in one state condition or form and start being in another or make something do this;B1;9;Clothes & Appearance
change into;to take off the clothes or a piece of clothing you are wearing and put on different ones;B1;9;Clothes & Appearance
change out of;to take off the clothes or a piece of clothing you are wearing and put on different ones;B1;9;Clothes & Appearance
check out;to examine someone or something in order to be certain that everything is correct true or satisfactory;B1;3;Communication & Information
cheer up;To become happier, or to make someone happier.;B1;15;Communication, Progress & Daily Tasks
clear up;To tidy a place and make it clean and neat.;B1;15;Communication, Progress & Daily Tasks
come across;meet someone or find something by chance;B1;3;Communication & Information
come across;To find something by chance.;B1;15;Communication, Progress & Daily Tasks
come back (from);To return from a place.;B1;15;Communication, Progress & Daily Tasks
come on;Used to tell someone to hurry up.;B1;15;Communication, Progress & Daily Tasks
come out;be removed from something such as clothing or cloth by washing or rubbing;B1;3;Communication & Information
come out;become available to buy or see;B1;3;Communication & Information
come out;have a particular result or end in a particular way;B1;3;Communication & Information
come out;To be published or become available for people to buy or see.;B1;15;Communication, Progress & Daily Tasks
come round;go to a place where someone is especially their house in order to visit them;B1;1;Relationships & Social Life
come up with;think of something such as an idea or a plan;B1;4;Thinking & Problem Solving
cool down;become cooler or make something cooler;B1;12;Food, Cooking & Temperature
cross out;To draw a line through written words to show they are wrong or not needed.;B1;15;Communication, Progress & Daily Tasks
crowd around;move to a particular place at the same time as a lot of other people;B1;10;Movement & Encounters
cut down (on);To reduce the amount of something you do, eat, or use.;B1;16;Habits, Incidents & Practical Life
cut off;To disconnect something (electricity/phone), or to remove something by cutting.;B1;16;Habits, Incidents & Practical Life
cut out;remove something from a larger piece by cutting;B1;8;DIY & Building
do up;fasten (an item of clothing);B1;9;Clothes & Appearance
do up;To fasten buttons or a zip on clothes.;B1;16;Habits, Incidents & Practical Life
dry up;if something dries up or is dried up all the water comes out of it;B1;12;Food, Cooking & Temperature
eat out;To eat in a restaurant instead of at home.;B1;16;Habits, Incidents & Practical Life
end up;be in a particular place or state after doing something or because of doing it;B1;2;Feelings, Moods & States
fall behind;move more slowly than other people so that you are behind them;B1;10;Movement & Encounters
fall down;To trip and fall to the ground.;B1;16;Habits, Incidents & Practical Life
fall out (with);To have an argument with someone and stop being friendly.;B1;16;Habits, Incidents & Practical Life
figure out;be able to understand something or solve a problem or understand what someone is like and why they behave in the way they do;B1;4;Thinking & Problem Solving
fill in;To add information in the spaces on a form or document.;B1;16;Habits, Incidents & Practical Life
fill up;To make something completely full.;B1;16;Habits, Incidents & Practical Life
find out;To discover information.;B1;16;Habits, Incidents & Practical Life
get into;if a train plane etc gets into a place it arrives there;B1;10;Movement & Encounters
