idiom;meaning;level
a drop in the ocean;a very small amount that will not have much effect;B2
a home from home;a place where you feel as relaxed as you do in your own home;B2
a sight for sore eyes;someone or something that you are very pleased to see;B2
a stitch in time (saves nine);used for saying that it is better to solve a problem now rather than leave it until later;B2
a stone's throw (away/from);very close to;B2
add fuel to the fire;to make a bad situation worse;B2
all in good time;used for telling someone to wait for something and not try to make you hurry;B2
all mod cons;all modern conveniences that make life easy and comfortable;B2
as the crow flies;in a straight line used for measuring distance;B2
at a loose end;with nothing in particular to do;B2
at the drop of a hat;immediately or without any doubt about doing something;B2
be on the same wavelength;to understand the way another person thinks because you have the same ideas and opinions;B2
before your time;used for saying that something happened or existed before you were born or before you lived somewhere;B2
below/under par;below the usual or expected standard;B2
big mouth;used as a criticism of someone when they say things they should not;B2
blot on the landscape;something that makes a place look less attractive;B2
break even;if a business breaks even it neither makes a profit nor loses money;B2
bury your head in the sand;to ignore a problem or unpleasant situation and hope it will disappear;B2
change your tune;to change your opinion or attitude;B2
clean as a whistle;completely honest or legal or extremely clean;B2
come clean (about sth);to tell the truth about something that you have kept secret;B2
come rain or shine;used for saying that something always happens despite bad weather or difficult conditions;B2
commuter belt;area surrounding a large city where many people who work in that city live;B2
concrete jungle;unpleasant part of a city where there are a lot of ugly buildings close together;B2
cry over spilt milk;to waste time feeling upset about something bad that has happened and cannot be changed;B2
do sth on a whim;to do something because of a sudden feeling that you must have or do it;B2
down on your luck;having a long period of difficulty finding work and earning money;B2
draw the line (at);to say that you will definitely not allow or accept something;B2
draw the short straw;to be chosen to do something unpleasant;B2
fall short;not to reach a particular level or to fail to achieve something you were trying to do;B2
fly off the handle;to suddenly become extremely angry without a good reason;B2
follow your nose;to do what you feel is right or to go straight forward without turning;B2
for good;permanently without the possibility of change in the future;B2
get on like a house on fire;to become good friends very quickly and have a lot to talk about;B2
get sth off your chest;to talk to someone about something that has been worrying you so that you feel better;B2
get the wrong end of the stick;to understand something completely wrongly;B2
get/catch sb's drift;to understand the basic meaning of what someone is saying;B2
get/have your way;to be allowed to have or do what you want;B2
give sb your word;to promise to do something;B2
give sth a miss;to decide not to do something that you usually do;B2
go halves;to share the cost of something equally;B2
have a change of heart;to change your opinion about something or decide not to do something you planned;B2
have green fingers;to be good at growing plants;B2
have time on your hands;to have more time available than you need;B2
(hear sth) on/through the grapevine;the way information spreads quickly from one person to another through conversation;B2
in sb's bad/good books;used for saying that someone is annoyed or pleased with you;B2
in the dark (about);not knowing very much about something because others are keeping it secret;B2
in the middle of nowhere;a long way from any town or city;B2
in the nick of time;just in time to prevent something bad happening;B2
in/for donkey's years;an extremely long time;B2
keep a straight face;to remain serious and not laugh;B2
keep sb posted;to regularly give someone information about something they are interested in;B2
keep sth under your hat;to keep something secret;B2
a drop in the ocean;a very small amount that will not have much effect;B2
a home from home;a place where you feel as relaxed as you do in your own home;B2
a sight for sore eyes;someone or something that you are very pleased to see;B2
a stitch in time (saves nine);used for saying that it is better to solve a problem now rather than leave it until later;B2
a stone's throw (away/from);very close to;B2
add fuel to the fire;to make a bad situation worse;B2
all in good time;used for telling someone to wait for something and not try to make you hurry;B2
all mod cons;all modern conveniences that make life easy and comfortable;B2
as the crow flies;in a straight line used for measuring distance;B2
at a loose end;with nothing in particular to do;B2
at the drop of a hat;immediately or without any doubt about doing something;B2
be on the same wavelength;to understand the way another person thinks because you have the same ideas and opinions;B2
before your time;used for saying that something happened or existed before you were born or before you lived somewhere;B2
