word;meaning;Level
assess;Evaluate or calculate the value of something;B2
biased;Preferring one person thing or idea to another in a way that is unfair.;B2
deduce;To reach a conclusion based on the information available.;B2
dilemma;A situation in which you have to make a difficult choice.;B2
discriminate;To treat someone unfairly because of their religion race or other personal characteristics.;B2
discriminate;To recognize the difference between things.;B2
gather;To believe that something is true although no one has directly told you about it.;B2
genius;Someone who is much more intelligent or skillful than other people.;B2
genius;A very high level of skill or ability.;B2
grasp;To understand something.;B2
inspiration;A sudden feeling of enthusiasm or a new idea that helps you to do or create something.;B2
justify;To show that there is a good reason for something especially something that other people think is wrong.;B2
notion;An idea or understanding of something.;B2
optimistic;Someone who is optimistic is hopeful about the future and tends to expect that good things will happen.;B2
optimistic;Based on beliefs that are too confident.;B2
pessimistic;Someone who is pessimistic is not hopeful about the future and tends to expect that bad things will happen.;B2
pessimistic;Thinking that the worst thing will happen in every situation.;B2
prejudiced;Someone who is prejudiced has an unreasonable opinion or feeling about someone or something especially hatred or fear of a particular group of people.;B2
presume;To think something is true because it is likely although you cannot be certain.;B2
query;A question that you ask because you want information or because you are not certain about something.;B2
query;To ask a question about something because you have doubts about it.;B2
query;To ask something.;B2
ignorant;Not knowing something that you should know or need to know.;B2
inattentive;Not giving much attention to someone or something.;B2
intellectual;Relating to the ability to think in an intelligent way and to understand things especially difficult or complicated ideas and subjects.;B2
intellectual;Well educated and interested in art science literature etc at an advanced level.;B2
intellectual;Someone who is well educated and interested in art science literature etc at an advanced level.;B2
intensive;Involving a lot of teaching or training in a short time.;B2
knowledgeable;Knowing a lot about many different subjects or about one particular subject.;B2
alternate;If one thing alternates with another it happens after it and keeps being repeated.;B2
alternate;Happening on one day week etc but not on the day week etc that immediately follows.;B2
conservative;Not willing to accept much change especially in the traditional values of society.;B2
convert;To change from one system use or method to another or to make something do this.;B2
convert;To change your beliefs especially your religious beliefs or to persuade someone to do this.;B2
convert;Someone who has changed their beliefs in an important way.;B2
decay;To be gradually destroyed as a result of a natural process of change or to destroy something in this way.;B2
decay;The gradual destruction of something as a result of a natural process of change.;B2
deteriorate;To become worse.;B2
dynamic;Continuously changing growing or developing.;B2
endure;To suffer something unpleasant or difficult in a patient way over a long period.;B2
endure;To last for a long time.;B2
evolve;When a type of plant or animal evolves its physical form changes over a long period of time.;B2
evolve;To gradually change and develop over a period of time.;B2
innovation;A new idea method piece of equipment etc.;B2
innovative;New original and advanced.;B2
modify;To change something slightly especially in order to improve it or to make it less extreme.;B2
novel;New or unusual.;B2
persist;To continue to do or say something in a determined way.;B2
radical;A radical change or way of doing something is new and very different from the usual way.;B2
reform;To improve a situation by correcting things that are wrong or unfair or make a system work more effectively.;B2
reform;A change intended to correct a situation that is wrong or unfair or make a system work more effectively.;B2
revise;To change your opinion or judgment of someone or something.;B2
revise;To change improve or make additions to something such as a book law or piece of writing.;B2
revolution;A sudden or major change especially in ideas or methods.;B2
revolution;A situation in which people completely change their government or political system usually by force.;B2
shift;If an idea attitude or plan shifts or someone shifts it it changes.;B2
shift;A change in something for example in someone's ideas or opinions.;B2
substitute;To remove one thing and put something else in its place.;B2
substitute;Something that is used instead of something else.;B2
transform;To make someone or something completely different usually in a way that makes them more attractive easier to use etc.;B2
trend;A gradual change or development that produces a particular result.;B2
uniform;The same everywhere.;B2
breakthrough;A discovery or achievement that comes after a lot of hard work.;B2
complex;With a lot of details or small parts which makes something difficult to understand or deal with.;B2
craft;To make or produce something skilfully.;B2
craft;A traditional skill of making things by hand for example furniture or jewellery.;B2
manual;Operated by people rather than automatically or using computers.;B2
network;To connect computers together so that each computer can send and receive information to and from the other computers.;B2
network;A set of computers that are connected to each other so that each computer can send and receive information to and from the other computers.;B2
nuclear;Relating to energy produced by changing the structure of the central part of an atom.;B2
primitive;At a very simple stage of development before modern technology.;B2
resource;Something you can use to help you to achieve something especially in your work or study.;B2
abrupt;Sudden and unexpected often in an unpleasant way.;B2
antique;Old and valuable.;B2
antique;An old object such as a piece of furniture or jewellery that is valuable because it is rare beautiful or well made.;B2
chronological;arranged or described in the order in which events happened.;B2
contemporary;modern or relating to the present time.;B2
contemporary;alive or existing at the same time as a particular event or person.;B2
contemporary;someone alive at the same time as a particular event or person.;B2
duration;the period of time during which something continues to happen or exist.;B2
era;a period of time that has a particular quality or character.;B2
eternal;continuing for ever or for a very long time.;B2
expire;if an agreement offer or official document expires the period of time during which it exists or can be used comes to an end.;B2
frequency;the number of times that something happens during a period of time.;B2
interval;a period of time between two events.;B2
interval;a short break between the parts of something such as a play or concert.;B2
long-standing;having existed for a long time.;B2
millennium;a period of 1000 years or the beginning of a period of 1000 years.;B2
overdue;If something is overdue it should have arrived/been done/been paid/etc before now.;B2
phase;A particular period of time during the development of something.;B2
prior;Happening existing or done before a particular time.;B2
prompt;Immediate or quick.;B2
prompt;Happening or arriving at exactly a particular time.;B2
simultaneous;Happening or done at the same time.;B2
span;The amount of time that something lasts.;B2
span;To last for a particular period of time especially a long period.;B2
subsequent;Happening or coming after something else.;B2
vintage;Vintage wine is excellent in quality and was made several years ago.;B2
vintage;A vintage object or vehicle is old but kept in good condition because it is interesting or attractive.;B2
vintage;All of the wine produced in a particular year or the year it was produced.;B2
vintage;The time when something was produced.;B2
consultant;An expert or a professional person whose job is to give help and advice on a particular subject.;B2
consultant;A senior doctor in a hospital who is an expert in a particular medical subject.;B2
executive;A senior manager in a business or other organisation.;B2
multinational;A large company that has offices shops or factories in several countries.;B2
multinational;A multinational company or business has offices shops or factories in several countries.;B2
private sector;All the businesses industries and services that are not owned or managed by the government.;B2
promotion;A move to a higher level in a company institution or sport.;B2
promotion;The activity of encouraging or supporting something.;B2
promotion;The process of attracting people's attention to a product or event for example by advertising.;B2
prospects;The possibility that something will happen especially something good.;B2
public sector;The industries and services for example schools and hospitals that are supported by tax money and controlled by the government of a country.;B2
recruit;A new member of a military force or an organisation especially someone who has recently joined.;B2
recruit;To get someone to work in a company or join an organisation.;B2
recruit;To get someone to help you do something.;B2
redundant;If someone is redundant they have been told they must leave their job because they are no longer needed.;B2
union;An organisation that represents the workers in a particular industry and tries to improve pay conditions etc.;B2
accelerate;to happen or make something happen at a faster rate.;B2
approach;to speak to someone about something for the first time especially in order to ask for help or make an offer.;B2
approach;a particular way of thinking about or dealing with something.;B2
approach;the fact of coming closer in time or in distance.;B2
ascend;to climb a mountain stairs etc.;B2
clench;if you clench a part of your body such as your hand or your mouth or if it clenches you close it tightly especially because you are angry or upset.;B2
clutch;to hold someone or something firmly for example because you are afraid or in pain or do not want to lose them.;B2
creep;if someone creeps somewhere they move there quietly and slowly.;B2
descend;to go down a mountain or slope or to go downstairs.;B2
drift;to be pushed along very slowly by the movement of air or water.;B2
emigrate;to leave your country in order to live in another country on a permanent basis.;B2
gesture;to make a movement with your hands or head in order to show or tell someone something.;B2
gesture;a movement that communicates a feeling or instruction.;B2
glide;to move in a smooth and easy way with no noise.;B2
grasp;to take and hold something or someone very tightly.;B2
leap;to jump over something.;B2
leap;a jump especially a long or high one.;B2
migrate;if a bird or animal migrates it travels to another part of the world for warmer weather at a particular time of the year.;B2
refugee;someone who leaves their country especially during a war or other threatening event.;B2
rotate;to move in a circle around a fixed central point or to move something in this way.;B2
stride;to walk with energy and confidence.;B2
stride;a long confident step.;B2
cargo;things that are being sent by ship plane train or truck.;B2
charter;to hire a boat plane or bus especially for use by a group of people.;B2
commute;to travel regularly to and from work.;B2
pilot;to fly an aircraft.;B2
steer;to control the direction in which a vehicle moves.;B2
boast;a statement in which you proudly tell other people what you or someone connected with you has done or can do or about something you own especially in order to make them admire you.;B2
boast;to proudly tell other people about what you or about something you own especially in order to make them admire you.;B2
clarification;an explanation that makes something clearer and easier to understand.;B2
context;the general situation in which something happens which helps explain it.;B2
context;the words surrounding a particular word that help to give it its meaning.;B2
contradict;to say that the opposite of what someone has said is true.;B2
convey;to communicate ideas or feelings indirectly.;B2
convey;to give official information or a formal message to someone.;B2
declare;to announce officially that something is true or happening.;B2
hint;something that you say to show what you are thinking or feeling without saying it directly.;B2
hint;a useful suggestion or piece of advice.;B2
hint;to say what you are thinking or feeling in an indirect way.;B2
literal;the literal meaning of a word is its most basic meaning.;B2
murmur;something that is said in a very quiet voice.;B2
murmur;a quiet continuous sound.;B2
murmur;to say something in a very quiet voice.;B2
petition;a document signed by many people that asks someone in authority to do something.;B2
scribble;untidy writing or something written in an untidy way.;B2
scribble;to write something quickly and carelessly.;B2
scribble;to make marks or drawings with no meaning.;B2
slang;slang words or expressions are very informal and are not considered suitable for more formal situations.;B2
slang;words or expressions that are very informal and are not considered suitable for more formal situations.;B2
stumble;a mistake while speaking.;B2
stumble;to make a mistake when you are speaking.;B2
stutter;a problem in speaking that causes you to repeat some particular sounds more than you should.;B2
stutter;to repeat the sounds of words in an uncontrolled way when you speak because you are nervous or have a speech problem.;B2
utter;to say something.;B2
utter;to make a sound.;B2
vague;not clear or complete.;B2
anchor;someone who presents the news on a television or radio news programme.;B2
anchor;to present a television or radio programme especially the news.;B2
caption;words printed near or on a picture that explain something about the picture.;B2
columnist;a journalist who writes a regular series of articles for a particular newspaper or magazine.;B2
correspondent;a newspaper or television reporter especially one who deals with a particular subject or area.;B2
coverage;news about something on television or radio or in the newspapers sometimes used about the amount of attention that television radio and newspapers give to something or the way in which something is reported.;B2
coverage;information about a range of things for example in a book or course of education.;B2
critic;someone who does not like something and states their opinion about it.;B2
critic;someone whose job is to write or broadcast their opinions about things such as books films or plays.;B2
footnote;a note at the bottom of a page that gives more detailed information about something on the page.;B2
prerecorded;prerecorded messages music television or radio programmes have been recorded so that they can be used later.;B2
reviewer;someone whose job is to write articles in a newspaper or magazine giving their opinion about a new play book art exhibition etc.;B2
subtitles;a translation of what people are saying in a foreign language film or television programme that appears at the bottom of the screen.;B2
supplement;a separate part of a newspaper or magazine.;B2
tabloid;relating to newspapers with fairly small pages mostly containing stories about famous people and not much serious news.;B2
tabloid;a newspaper with fairly small pages mostly containing stories about famous people and not much serious news.;B2
approximate;to calculate something in a way that is not exact.;B2
approximate;not exact but close to an exact amount number time etc.;B2
assign;to send someone to a particular place especially in order for them to work there.;B2
attribute;to believe that something is the result of a particular situation event or person's actions.;B2
blow;an event that causes you to feel very sad disappointed or shocked.;B2
curse;to use magic powers to make bad things happen to someone.;B2
curse;a bad situation or event caused by someone's deliberate use of their magic powers.;B2
deliberate;intended not done by chance or by accident.;B2
determine;to calculate something or discover it by examining evidence.;B2
fate;a power that some people believe controls everything that happens in their lives.;B2
gamble;to risk money or something valuable in the hope of winning more if you are lucky or if you guess something correctly.;B2
hazard;something that could be dangerous or cause damage or accidents.;B2
likelihood;how certain it is that something will happen.;B2
odds;the chances of something happening.;B2
random;chosen or happening without any particular method pattern or purpose.;B2
spontaneous;happening in a natural way without being planned or thought about.;B2
startle;to make a person or animal feel suddenly frightened or surprised by doing something they do not expect.;B2
statistics;a group of numbers that represent facts or describe a situation.;B2
stray;to move away from the correct place or path.;B2
stray;lost or without a home.;B2
stray;a pet that is lost or has left its home.;B2
superstition;a belief that things such as magic or luck have the power to affect your life.;B2
superstitious;believing in the power of magic or luck.;B2
uncertainty;the fact that something is not known or has not been decided.;B2
appreciate;to understand the true nature of a situation and realise why it is important or serious.;B2
catastrophe;an event that causes a lot of damage or makes a lot of people suffer.;B2
drought;a long period of time when there is little or no rain and crops die.;B2
evacuate;to leave a building or other place because it is not safe.;B2
exploit;to use natural resources such as trees water or oil so that you gain as much as possible.;B2
