base word;word formation;type;definition;Level
act;acting;suffix -ing;the art of performing in plays or films;B1
act;actor;suffix -or;person who performs;B1
act;actress;suffix -ess;female person who performs;B1
act;action;suffix -ion;the process of doing something;B1
act;activity;suffix -ity;something you do for enjoyment or purpose;B1
act;active;suffix -ive;energetic or involved;B1
act;actively;suffix -ly;in an active way;B1
add;addition;suffix -ion;the process of adding something;B1
admire;admire;base form;to respect and approve of someone;B1
alter;alternative;suffix -ative;another option;B1
appear;disappear;prefix dis-;to stop being visible;B1
apply;application;suffix -ation;official request;B1
approve;approval;suffix -al;agreement or permission;B1
argue;argument;suffix -ment;disagreement or reason;B1
arrange;arrangement;suffix -ment;the way things are organized;B1
arrange;arranged;suffix -ed;organized or planned;B1
art;arts;plural form;subjects such as painting and music;B1
art;artist;suffix -ist;person who creates art;B1
associate;associate;base form;colleague or to connect;B1
believe;belief;suffix -ief;conviction that something is true;B1
believe;unbelievable;prefix un- + suffix -able;extremely surprising;B1
brief;briefly;suffix -ly;in a short way;B1
change;exchange;prefix ex-;to give something and receive something else;B1
change;changing;suffix -ing;in the process of change;B1
choose;chose;irregular past;past tense of choose;B1
choose;chosen;past participle;past participle of choose;B1
choose;choice;suffix -ice;option or decision;B1
class;classmate;compound;person in the same class;B1
class;classroom;compound;room where classes take place;B1
class;classwork;compound;work done in class;B1
class;classic;suffix -ic;typical or excellent example;B1
collect;collector;suffix -or;person who collects;B1
collect;collection;suffix -ion;group of collected items;B1
come;income;suffix -in;money received regularly;B1
come;coming;suffix -ing;approaching or next;B1
compete;competition;suffix -ition;event where people try to win;B1
confuse;confusion;suffix -ion;state of being bewildered;B1
confuse;confused;suffix -ed;bewildered;B1
confuse;confusing;suffix -ing;causing bewilderment;B1
connect;connected;suffix -ed;joined together;B1
crime;criminal;suffix -al;person who commits a crime;B1
decide;decision;suffix -ion;choice made;B1
deep;deepen;suffix -en;to make deep;B1
deep;depth;suffix -th;distance from top to bottom;B1
deep;deeply;suffix -ly;in a deep way;B1
define;definition;suffix -ition;explanation of meaning;B1
depend;depending;suffix -ing;relying on;B1
distant;distance;suffix -ance;amount of space between;B1
do;redo;prefix re-;to do again;B1
do;redid;past of redo;past tense of redo;B1
do;redone;past participle;past participle of redo;B1
do;doing;suffix -ing;action or activity;B1
draw;drew;irregular past;past tense of draw;B1
draw;drawn;past participle;past participle of draw;B1
draw;drawing;suffix -ing;picture or the act of drawing;B1
electric;electricity;suffix -ity;form of energy;B1
employ;employment;suffix -ment;state of having paid work;B1
employ;unemployment;prefix un- + suffix -ment;state of not having work;B1
employ;employer;suffix -er;person who employs;B1
employ;employee;suffix -ee;person who is employed;B1
employ;employed;suffix -ed;having paid work;B1
employ;unemployed;prefix un- + suffix -ed;without paid work;B1
end;ending;suffix -ing;final part of something;B1
govern;government;suffix -ment;the system by which a country is ruled;B1
hand;handle;suffix -le;to manage or deal with;B1
hand;handful;suffix -ful;as much as a hand can hold or a small number;B1
hard;hardly;suffix -ly;scarcely or barely;B1
hear;hearing;suffix -ing;the sense of perceiving sound;B1
high;highlight;compound;to emphasize or the best part;B1
high;height;suffix -t;the measurement from base to top;B1
high;highly;suffix -ly;to a high degree or very much;B1
house;housing;suffix -ing;buildings where people live;B1
impress;impression;suffix -ion;an idea or feeling about something;B1
